"Node does not has model token tag","Düğümün model belirteci etiketi yok"
"Not implemented yet","Henüz uygulanmadı"
"Please fix errors and re-upload file","Lütfen bu hataları düzelterek dosyayı yeniden yükleyiniz"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Lütfen bu hataları düzelterek dosyayı yeniden yükleyiniz veya sadece ""Veri Al"" tuşuna basarak hatalı satırları gözardı ederek veri alımını başlatın"
"Some other FAQ","Diğer SSS"
"Source file moving failed","Kaynak dosya taşınırken hata oluştu"
"Source file path must be a string","Kaynak dosya yolu sadece yazıdan ibaret olmalıdır"
"Source is not set","Kaynak ayarlanmadı"
"Status","Durum"
"System busy","Sistem Meşgul"
"There are no product types available for export","Dışarı aktarmak için uygun ürün tipi yok"
"Total size of uploadable files must not exceed %s","Yüklenecek dosyaların boyutu an fazla %s olmalıdır"
"Uploaded file has no extension","Yüklenen dosyanın uzantısı yok"
"Validation Results","Doğrulama Sonuçları"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Column names have duplicates","Kolon adlarında çift olan(lar) var"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2014-05-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%s file does not exists or is not readable","%s file does not exists or is not readable"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Append Complex Data","Append Complex Data"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
"Begin data validation","Begin data validation"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"CSV","CSV"
"Can not find required columns: %s","Can not find required columns: %s"
"Cannot get autoincrement value","Cannot get autoincrement value"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Customers","Customers"
"Delete Entities","Delete Entities"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity Type","Entity Type"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract"
"Errors limit (%d) reached. Please fix errors and re-upload file","Errors limit (%d) reached. Please fix errors and re-upload file"
"Export File Format","Export File Format"
"Export Settings","Export Settings"
"Export has been done.","Export has been done."
"Exported %s rows.","Exported %s rows."
"File does not contain data.","File does not contain data."
"File was not uploaded","File was not uploaded"
"Filter","Filter"
"From","From"
"Import Behavior","Import Behavior"
"Import Settings","Import Settings"
"Import has been done successfuly.","Import has been done successfuly."
"Invalid entity model","Invalid entity model"
"Invalid value for '%s' column","Invalid value for '%s' column"
"Products","Products"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Select File to Import","Select File to Import"
"Skip","Skip"
"There is no data for export","There is no data for export"
"To","To"
"Unknown attribute filter type","Unknown attribute filter type"
"Validation finished successfully","Validation finished successfully"
"in rows","satırlarda"
"in rows:","satırlarda:"
"--------------- v 1.8.0.0 2014-05-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Escape CSV fields","CSV Alanlarını İyileştir"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
