"(eg: domain.com/identifier)","(ör: domain.com/kelime)"
"Such a block identifier in selected store already exist.","Seçili mağaza için aynı adda bir Blok Kimliği zaten var."
"Page Identifier for specified store already exist.","Seçili mağaza için aynı adda bir Sayfa Kimliği zaten var."
"SEF URL Identifier","SEF Adres Belirteci"
"Unable to find a block to delete","Silinecek blok bulunamıyor"
"Unable to find a page to delete","Silinecek sayfa bulunamıyor"
"Last Modified","Son Güncellenme"
"All countries","Tüm ülkeler"
"Layout","Yapı"
"Layout Update XML","Yapı Güncelleme XML"
"New Block","Yeni Blok"
"Add New Block","Yeni Blok Ekle"
"New Page","Yeni Sayfa"
"Add New Page","Yeni Sayfa Ekle"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Anchor Custom Text","Bağlantı için Yazı"
"Anchor Custom Title","Bağlantı için Başlık"
"Are you sure you want to delete current folder?","Bu klasörü silmek istediğinizden emin misiniz ?"
"Are you sure you want to delete the selected file?","Seçili dosyayı silmek istediğinizden emin misiniz?"
"Block","Blok"
"CMS No Cookies Page","CMS 'Çerez özelliği açık değil' sayfası"
"CMS No-Route Page","CMS 'Yönlendirme yapılamıyor' sayfası"
"CMS Page","CMS Sayfası"
"CMS Page Link","CMS Sayfa Bağlantısı"
"CMS Page Link Block Template","CMS Sayfa Bağlantısı Blok Teması"
"CMS Page Link Inline Template","CMS Sayfa Bağlantısı iç Teması"
"CMS Pages (All)","CMS Sayfaları (Hepsi)"
"CMS Static Block","CMS Statik Blok"
"CMS Static Block Default Template","CMS Statik Blok Varsayılan Tema"
"Cannot create new directory","Yeni klasör oluşturulamıyor"
"Cannot delete directory %s","%s Klasörü silinemiyor"
"Cannot delete root directory %s","%s Kök klasörü silinemiyor"
"Cannot upload file","Dosya yüklenemiyor"
"Collapse All","Hepsini Aç"
"Content Heading","İçerik Başlığı"
"Content Management","İçerik Yönetimi"
"Contents of a Static Block","Statik Bloğun İçeriği"
"Create Folder...","Klasör oluştur..."
"Custom Design From","Özel Tasarım Uygulaması Başlangıç Tarihi"
"Custom Design To","Özel Tasarım Uygulaması Bitiş Tarihi"
"Custom Layout","Yapı Güncellemesi"
"Custom Layout Update XML","Yapı Güncellemesi için XML Verisi"
"Delete File","Dosya Sil"
"Delete Folder","Klasör Sil"
"Design","Tasarım"
"Directory %s is not writable by server","%s klasörüne yazma hakkı yok"
"Disabled Completely","Tamamen Devre Dışı"
"Disabled by Default","Varsayılan olarak Devre Dışı"
"Enable WYSIWYG editor","WYSIWYG Editör Açık"
"Enabled by Default","Varsayılan olarak Açık"
"Error while saving Page. Please try again later.","Sayfa kaydedilirken sorun oluştu. Lütfen daha sonra tekrar deneyiniz."
"Expand All","Hepsini Genişlet"
"ID","No"
"If empty, the Page Title will be used","Eğer boş bırakırsanız, Sayfa Başlığı kullanılacaktır"
"Images (%s)","Resimler (%s)"
"Insert File","Dosya Ekle"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Hatalı klasör adı. Lütfen, sadece harfler, rakamlar, alt çizgi (_) ve tire (-) kullanınız."
"Link to a CMS Page","Bir CMS sayfasına bağlantı"
"Media Storage","Medya Dosyaları Alanı"
"New Folder Name:","Yeni Klasör Adı:"
"No files found","Hiç dosya yok"
"Page Layout","Sayfa Yapısı"
"Page URL Key cannot consist only of numbers.","Sayfa Adresi Anahtar Kelimesi sadece rakamlardan oluşamaz."
"Page URL Key for specified store already exist.","Belirttiğiniz Sayfa Adresi Anahtar Kelimesi bu mağaza için zaten var."
"Pages","Sayfalar"
"Redirect to CMS-page if cookies are disabled","Çerez kullanımı kapalıysa sayfaya yönlendir"
"Relative to Website Base URL","Web Sitesi ana adresiyle ilişkili"
"Select Block...","Blok Seçiniz..."
"Select Page...","Sayfa Seçiniz..."
"Show notice if JavaScript is disabled","JavaScript devre dışı ise uyarı göster"
"Storage Root","Depolama Kök Klasörü"
"Such directory already exists. Try another folder name","Belirttiğiniz isimde bir klasör zaten var. Başka bir isim deneyiniz"
"Template","Tema"
"URL Key","Adres Anahtar Kelimesi"
"WYSIWYG Options","WYSIWYG Seçenekleri"
"px.","px."
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"A block identifier with the same properties already exists in the selected store.","Seçili mağazada belirttiğiniz isimde ve aynı özelliklerde bir blok tanıtıcısı zaten var."
"A directory with the same name already exists. Please try another folder name.","Aynı adda bir klasör zaten var. Lütfen başka bir klasör adı kullanınız."
"A page URL key for specified store already exists.","Bu mağaza için aynı şekilde bir URL anahtarı zaten var."
"All Countries","Tüm Ülkeler"
"An error occurred while saving the page.","Sayfa kaydedilirken bir hata oluştu."
"CMS Content Wrapper","CMS İçerik Çerçevesi"
"Cannot create new directory.","Yeni klasör oluşturulamıyor."
"Cannot delete directory %s.","%s klasörü silinemiyor."
"Cannot delete root directory %s.","Ana klasör %s silinemiyor."
"Cannot upload file.","Dosya yüklenemiyor."
"Enable WYSIWYG Editor","WYSIWYG Editörünü Aç"
"Redirect to CMS-page if Cookies are Disabled","Eğer tarayıcı Çerezleri desteklemiyorsa bu sayfaya yönlendir"
"Save Process","İşlemi Kaydet"
"Show Breadcrumbs for CMS Pages","CMS Sayfaları için site yolu (breadcrumb) göster"
"Show Notice if JavaScript is Disabled","Eğer Javascript devre dışı ise mesaj göster"
"The block has been deleted.","Blok silindi."
"The block has been saved.","Blok kaydedildi."
"The directory %s is not writable by server.","%s klasörüne yazma hakkı yok."
"The page URL key cannot consist only of numbers.","URL anahtarı sadece numaradan oluşamaz."
"The page has been deleted.","Sayfa silindi."
"The page has been saved.","Sayfa kaydedildi."
"This block no longer exists.","Blok bulunamıyor."
"This page no longer exists.","Sayfa bulunamıyor."
"Unable to find a block to delete.","Silinecek bir blok bulunamadı."
"Unable to find a page to delete.","Silinecek bir sayfa bulunamadı."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"The page URL key contains capital letters or disallowed symbols.","Sayfa adresi anahtar kelimesi büyük harfler ve izin verilmeyen semboller içeriyor."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Media Gallery","Medya Galerisi"
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-09-02 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"The static block content cannot contain  directive with its self.","Statik blok içeriğinde kendisini işaret eden direktif olamaz."
"--------------- v 1.6.0.0-rc2 2011-09-02 SONU --------------------","////////////////////////////////////////////////////////////////////////"
